Row Labels,Sensitivity_,Specificity_,Validation_,Calibration_,Mean,Standard Deviation
ANN,83.43,77.78,0.68,0.73,,
GBM,94.41,85.67,0.75,0.88,,
GLM,79.27,82.36,0.72,0.75,,
MAXNET,78.47,85.21,0.72,0.76,,
RF,99.65,96.47,0.74,0.98,,
SRE,86.88,55.99,0.57,0.57,,
XGBOOST,85.85,80.67,0.71,0.79,,
Grand Total,86.85,80.59,0.70,0.78,,
,,,,,,
,,,,,,
,,,,,,
Algorithms,Sensitivity,Specificity,ROC,TSS,,
ANN,83.435,77.780,0.828,0.537,,
GBM,94.406,85.668,0.885,0.620,,
GLM,79.269,82.356,0.871,0.561,,
MAXNET,78.472,85.210,0.877,0.570,,
RF,99.654,96.469,0.884,0.604,,
SRE,86.880,55.993,0.710,0.422,,
XGBOOST,85.853,80.666,0.850,0.570,,
,,,,,,
Ensemble (Emmean),86.765,84.808,0.699,0.779,,
Ensemble (Emca),94.853,76.367,0.712,0.916,,
,,,,,,
,,,,,,
Algorithms,Sensitivity,Specificity,ROC,TSS,,
ANN,83.435,77.780,0.828,0.537,,
GBM,94.406,85.668,0.885,0.620,,
GLM,79.269,82.356,0.871,0.561,,
MAXNET,78.472,85.210,0.877,0.570,,
RF,99.654,96.469,0.884,0.604,,
SRE,86.880,55.993,0.710,0.422,,
XGBOOST,85.853,80.666,0.850,0.570,,
,,,,,,
Ensemble (Emmean),86.765,84.808,0.699,0.779,,
Ensemble (Emca),94.853,76.367,0.712,0.916,,
